casename,A_true,n_true,a_true,alpha,beta,A_est,n_est,a_est,alpha_est,beta_est
case137,800.0,1.1,50.0,0.8,-0.5,791.5242048223663,1.102203535621447,49.148594478098,0.8007789517330186,-0.49490315835492055
case138,800.0,1.1,50.0,0.8,-0.4,790.1089256484743,1.1015776768614238,49.066139316171316,0.8016271110750977,-0.3958067217210124
case139,800.0,1.1,50.0,0.8,-0.3,788.6583830295922,1.1010429760019558,48.97175748445042,0.8021526934730016,-0.2964176848712387
case140,800.0,1.1,50.0,0.8,-0.2,787.1458954190825,1.100748407445271,48.85354749186622,0.8025245336484718,-0.1969048900397891
case141,800.0,1.1,50.0,0.8,-0.1,785.5183724201048,1.10108980073995,48.60949453727689,0.762222695882346,-1.494962696066297e-156
case142,800.0,1.1,50.0,0.8,-0.0,783.9573314164667,1.1010726383600402,48.537126410541184,0.803774464434752,-3.967519001130712e-05
case143,800.0,1.1,50.0,0.8,0.1,782.1949218463271,1.1016855626068534,48.33495302823644,0.8032395195632903,0.10182154287160884
case144,800.0,1.1,50.0,0.8,0.2,781.107038127473,1.1019253382245169,48.24477065057558,0.8035553223011422,0.20112874594559366
case145,800.0,1.1,50.0,0.8,0.3,779.093983107828,1.1032622448793865,47.94260314392001,0.803729047538262,0.3003889237616744
case146,800.0,1.1,50.0,0.8,0.4,776.8817309973444,1.104189091815313,47.69325230536772,0.804017373415453,0.3993512072477261
case147,800.0,1.1,50.0,0.8,0.5,774.7646523596192,1.1050439185826313,47.4417871561891,0.8043101352210451,0.49815262031529745
case148,800.0,1.1,50.0,0.8,0.6,773.1678443520829,1.1053302979511483,47.29054699723499,0.8045767471717895,0.5969742916546289
case149,800.0,1.1,50.0,0.8,0.7,771.1056590651101,1.1054952303728809,47.091623874468844,0.8047332891329838,0.6961305842402249
case150,800.0,1.1,50.0,0.8,0.8,769.8566694177171,1.1049864912267875,47.034727622349436,0.8047333049886611,0.7960414163715438
